timestamp,solar,wind_speed
2025-07-01 12:00:00,407.0,16.0
2025-07-01 13:00:00,233.0,14.4
2025-07-01 14:00:00,101.0,14.1
2025-07-01 15:00:00,97.0,15.1
2025-07-01 16:00:00,144.0,16.9
2025-07-01 17:00:00,179.0,17.4
2025-07-01 18:00:00,197.0,15.0
2025-07-01 19:00:00,176.0,11.0
2025-07-01 20:00:00,93.0,8.4
2025-07-01 21:00:00,14.0,8.7
2025-07-01 22:00:00,0.0,10.0
2025-07-01 23:00:00,0.0,9.8
2025-07-02 00:00:00,0.0,6.9
2025-07-02 01:00:00,0.0,8.7
2025-07-02 02:00:00,0.0,11.8
2025-07-02 03:00:00,0.0,10.6
2025-07-02 04:00:00,0.0,8.4
2025-07-02 05:00:00,0.0,7.9
2025-07-02 06:00:00,21.0,8.7
2025-07-02 07:00:00,119.0,9.7
2025-07-02 08:00:00,258.0,10.3
2025-07-02 09:00:00,422.0,10.9
2025-07-02 10:00:00,607.0,11.5
2025-07-02 11:00:00,775.0,12.3
2025-07-02 12:00:00,889.0,12.8
2025-07-02 13:00:00,947.0,13.8
2025-07-02 14:00:00,951.0,15.6
2025-07-02 15:00:00,913.0,19.0
2025-07-02 16:00:00,823.0,22.9
2025-07-02 17:00:00,667.0,24.8
2025-07-02 18:00:00,461.0,22.7
2025-07-02 19:00:00,258.0,18.8
2025-07-02 20:00:00,98.0,15.6
2025-07-02 21:00:00,13.0,13.7
2025-07-02 22:00:00,0.0,11.9
2025-07-02 23:00:00,0.0,10.1
