period,respondent,respondent-name,type,type-name,value,value-units
2024-05-30T18,PJM,"PJM Interconnection, LLC",D,Demand,86308,megawatthours
2024-05-30T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74935,megawatthours
2024-05-30T17,PJM,"PJM Interconnection, LLC",D,Demand,85120,megawatthours
2024-05-30T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73125,megawatthours
2024-05-30T16,PJM,"PJM Interconnection, LLC",D,Demand,84297,megawatthours
2024-05-30T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,70930,megawatthours
2024-05-30T15,PJM,"PJM Interconnection, LLC",D,Demand,83874,megawatthours
2024-05-30T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69358,megawatthours
2024-05-30T14,PJM,"PJM Interconnection, LLC",D,Demand,82740,megawatthours
2024-05-30T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,67050,megawatthours
2024-05-30T13,PJM,"PJM Interconnection, LLC",D,Demand,82039,megawatthours
2024-05-30T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64452,megawatthours
2024-05-30T12,PJM,"PJM Interconnection, LLC",D,Demand,80098,megawatthours
2024-05-30T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62101,megawatthours
2024-05-30T11,PJM,"PJM Interconnection, LLC",D,Demand,76933,megawatthours
2024-05-30T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60828,megawatthours
2024-05-30T10,PJM,"PJM Interconnection, LLC",D,Demand,74937,megawatthours
2024-05-30T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60485,megawatthours
2024-05-30T09,PJM,"PJM Interconnection, LLC",D,Demand,72656,megawatthours
2024-05-30T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60810,megawatthours
2024-05-30T08,PJM,"PJM Interconnection, LLC",D,Demand,72282,megawatthours
2024-05-30T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61723,megawatthours
2024-05-30T07,PJM,"PJM Interconnection, LLC",D,Demand,73132,megawatthours
2024-05-30T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,63304,megawatthours
2024-05-30T06,PJM,"PJM Interconnection, LLC",D,Demand,74683,megawatthours
2024-05-30T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,66052,megawatthours
2024-05-30T05,PJM,"PJM Interconnection, LLC",D,Demand,76690,megawatthours
2024-05-30T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69668,megawatthours
2024-05-30T04,PJM,"PJM Interconnection, LLC",D,Demand,79369,megawatthours
2024-05-30T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73469,megawatthours
2024-05-30T03,PJM,"PJM Interconnection, LLC",D,Demand,83941,megawatthours
2024-05-30T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75603,megawatthours
2024-05-30T02,PJM,"PJM Interconnection, LLC",D,Demand,88860,megawatthours
2024-05-30T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76984,megawatthours
2024-05-30T01,PJM,"PJM Interconnection, LLC",D,Demand,91000,megawatthours
2024-05-30T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78439,megawatthours
2024-05-30T00,PJM,"PJM Interconnection, LLC",D,Demand,92544,megawatthours
2024-05-29T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79457,megawatthours
2024-05-29T23,PJM,"PJM Interconnection, LLC",D,Demand,94177,megawatthours
2024-05-29T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79697,megawatthours
2024-05-29T22,PJM,"PJM Interconnection, LLC",D,Demand,95333,megawatthours
2024-05-29T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79597,megawatthours
2024-05-29T21,PJM,"PJM Interconnection, LLC",D,Demand,95039,megawatthours
2024-05-29T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79263,megawatthours
